Video ID,Emotion
-TeeIEh2IE8,anticipation
-zkOLKMiX9c,joy
0K9eZCW-lvc,joy
0_BEwbnmRZ4,surprise
5WH-PSs9hI8,joy
5vNoHwgoIjw,joy
5zvsAwsEwPg,joy
7R2RyqU4hjI,surprise
7Z76MiQv0zg,joy
7cGmj0AR3z8,sadness
80z6drP0NY8,anticipation
8MkcEzfyCFM,anticipation
9KapEXWynrA,joy
9OvibwfflDg,joy
9p9sGtV4UoU,joy
ATGZ58IRwfE,joy
AkTkUOOCZ-w,joy
AwhBTrzzqeg,joy
Axg27gwEqCE,joy
BDA6rPA0Fcs,anticipation
D-qQneOnJl0,anticipation
D_gkHpZ2oRI,joy
EB_Z-8kBNm8,joy
EobMnSpjfTU,disgust
ExTP2rYqguE,joy
FIDsKWis3jo,joy
GiYK_6FxNts,trust
HphRKCxIK_Q,joy
IxlzRwNX63A,joy
JKUWL85Betk,trust
Jzqu48uup54,anticipation
KHfP3InQc94,anticipation
KIqQ0gowzt4,joy
KuYsILv6Fd0,joy
KyI8i1-cN8s,anticipation
Li8ubUzLB90,joy
LpVraZRIjrY,anticipation
NXrwxbxeqCE,joy
P-7mzzWtnVQ,joy
PKAM4M9OET8,joy
PWnDS45iDj4,anticipation
PqpCeiYycVM,surprise
Pt_5Faa_J-U,anticipation
QMCR45FyfzU,anticipation
Qc0iJpQcdis,joy
QvoPw_5Sz8U,joy
RDn0K9UzCpc,joy
RF-Mqs2qC-M,trust
RNjlfo_8u4s,anticipation
RjVfU9WcPxE,anticipation
S1_L6RGDggk,anticipation
SVO-iq2bjTQ,joy
SrlAlMsdr3g,disgust
TPEdTajhR6A,joy
UAUfo6KY1wg,joy
UYEWJcmWKGQ,joy
VTPdktgrtF8,anticipation
VabOWgtG2D4,joy
VxvfhuxOE1I,disgust
VyEf4EBXe8o,anticipation
VylU-ueLA_g,anticipation
X89WJTXA8KQ,joy
XNrTIQjHuKs,anger
XxPPdlo72ho,joy
YQC7OtyHhxU,joy
_Jqi9k3tXoQ,joy
_Zr3ObadDnI,anticipation
aB7JCNRI3rY,joy
aTSgJgRnqG0,anticipation
eOfOrQJWeP0,sadness
eyUs2JgrV9E,joy
fsYZye1Ykao,joy
gKUyX7cjum4,joy
gO_gm74yiUY,joy
hJaXjItxL6w,anticipation
haK2TnmVoT0,trust
iY1UnR7z7P0,sadness
jOzaz27K48E,sadness
jY3P-f6q-ZI,joy
jwfI8BlFwMw,disgust
kavjzsRtuuA,joy
l2mtebeR3rA,trust
n50DZvVAulM,sadness
ou3h0twV9TY,sadness
pJ8hLOkhl7M,sadness
qNthtD7KmiA,joy
qmHAvgEBnsk,trust
rHyIOIstYRA,sadness
sQTGkLW6fwg,trust
uXYyyhUcFg4,trust
uZDNGVmHxn4,anticipation
ua0-5FZ2Eww,anticipation
v293iGJ2PVY,joy
vDD1lhHkGxk,anticipation
vGqYP1sKJ2Y,surprise
vvrjhuJrFVc,joy
vx09_4cEzlM,sadness
w4HmK4JCN2U,joy
xT8n0uBIURk,anticipation
xqv0yo_Elj4,joy
yKn3Ur6_w3c,joy
yjhibJ-OqxE,anticipation
zEXXe9Ef_R8,sadness
zPUSDU0hrwE,joy
za-ogD7nLi8,trust
zgacuXdzCmw,anticipation
